"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.73641024982651e-104,4.81264238404419,0.296,0.01,9.23831301661207e-100,"5","BATF3"
5.32444272200405e-79,4.37336438156822,0.284,0.015,7.30194074895636e-75,"5","CTD-2006K23.1"
7.94998096326412e-269,5.97743702177774,0.961,0.068,1.09026038930204e-264,"6","GZMB"
3.40797594255188e-237,5.40450902274513,0.877,0.062,4.67369820761565e-233,"6","FGFBP2"
4.16343537044754e-219,5.71148215432878,0.729,0.039,5.70973526703175e-215,"6","SPON2"
3.13228050431234e-191,5.95938585821989,0.961,0.131,4.29560948361394e-187,"6","GNLY"
8.09702950288425e-179,6.22191736578399,0.471,0.013,1.11042662602555e-174,"6","AKR1C3"
6.28679829335387e-175,5.35734139660214,0.535,0.022,8.6217151795055e-171,"6","XCL2"
5.40251219940202e-169,5.27045018214353,0.568,0.029,7.40900523025993e-165,"6","CLIC3"
1.43180729630688e-125,5.30070662028658,0.361,0.012,1.96358052615525e-121,"6","XCL1"
5.38242737290126e-112,6.06547503090786,0.29,0.007,7.38146089919679e-108,"6","SH2D1B"
5.15357284533791e-98,5.42537825630694,0.271,0.008,7.06760980009641e-94,"6","KLRF1"
1.48076404741146e-220,7.63383316110409,0.812,0.011,2.03071981462008e-216,"7","FCER1A"
1.4562607286726e-207,8.02657338957981,0.5,0.002,1.99711596330161e-203,"7","SERPINF1"
3.01941114436467e-138,6.06809925702989,0.688,0.015,4.14082044338171e-134,"7","CLEC10A"
6.94478794559974e-134,6.1066501405117,0.438,0.005,9.52408218859548e-130,"7","ENHO"
2.25754688503171e-103,6.61558180709761,0.281,0.002,3.09599979813249e-99,"7","CLIC2"
2.17422749557628e-80,4.76187347525291,0.562,0.02,2.98173558743331e-76,"7","CD1C"
8.74606316087739e-43,4.40066499301121,0.281,0.009,1.19943510188272e-38,"7","UPK3A"
1.39839137202108e-36,3.98036823280328,0.281,0.011,1.91775392758971e-32,"7","LGMN"
8.79348048144113e-36,4.06310990027861,0.25,0.009,1.20593791322484e-31,"7","PON2"
1.7613845892117e-23,3.99818092077218,0.25,0.015,2.41556282564492e-19,"7","P2RY13"
0,11.4842157845658,0.923,0.002,0,"8","GP9"
0,11.3863861709497,0.846,0.001,0,"8","AP001189.4"
0,11.5850222814367,0.846,0.002,0,"8","ITGA2B"
0,14.3586080619875,0.615,0,0,"8","LY6G6F"
2.85405923747088e-299,11.1584337788,0.692,0.001,3.91405683826756e-295,"8","SEPT5"
4.07200953120186e-228,13.2608681916568,0.462,0,5.58435387109023e-224,"8","CLDN5"
1.46178573592298e-222,11.1697752134281,0.769,0.004,2.00469295824478e-218,"8","PTCRA"
7.321398269986e-222,13.925994034949,0.385,0,1.00405655874588e-217,"8","RP11-879F14.2"
2.04548946656445e-217,11.2236093412777,0.538,0.001,2.80518425444648e-213,"8","C2orf88"
5.18388623729981e-200,11.3561041270275,1,0.01,7.10918158583296e-196,"8","GNG11"
