Geneid,SRR1313066,SRR1313067,SRR1313068,SRR1313078,SRR1313090,SRR1313091,SRR1313092,SRR1313094,SRR1313096,SRR1313099,SRR1313101,SRR1313111,SRR1313112,SRR1313113,SRR1313115,SRR1313118,SRR1313120,SRR1313123,SRR1313127,SRR1313128
RBM11,4,21,85,313,67,71,30,95,93,67,100,97,84,142,143,85,141,93,805,58
ABCC13,0,34,111,29,63,6,5,6,21,4,17,11,2,10,8603,30,134,186,604,3
HSPA13,3563,700,2802,354,929,300,256,177,110,185,564,314,481,384,177,1077,141,436,1469,156
SAMSN1,352,3,1,10,71,73,62,76,70,130,60,68,45,74,71,85,109,87,103,134
SAMSN1-AS1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,1
ENSG00000232884,1,12,0,24,10,17,12,2,14,11,4,15,6,27,18,31,10,9,10,18
POLR2CP1,0,1,0,4,0,0,0,1,1,0,0,1,0,0,1,1,0,2,0,0
GAPDHP16,0,0,1,3,6,0,1,4,3,0,0,0,2,2,0,4,0,0,1,0
ENSG00000235609,39,64,6,95,191,133,66,57,36,26,64,119,403,119,111,398,108,41,39,14
ENSG00000291290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000291291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02246,1,7,2,26,4,10,9,8,3,4,6,22,14,19,13,30,19,5,7,1
RBMX2P1,0,0,1,22,0,1,4,5,7,7,0,2,7,5,11,7,7,0,2,1
ENSG00000235277,0,19,2,23,1,4,3,1,7,1,0,6,8,5,23,14,14,5,3,2
NRIP1,493,4272,3612,2250,4816,1011,862,637,366,399,1366,1662,4389,2501,1009,6597,769,1239,1606,224
ENSG00000229047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231201,3,11,8,175,25,20,14,14,16,7,6,19,30,22,43,35,37,7,28,5
ENSG00000279390,7,48,31,259,28,4,9,3,18,10,18,23,29,18,14,48,8,7,3,2
LINC02920,1,1,0,2,0,0,2,0,0,1,0,0,0,2,0,1,0,1,5,1
ENSG00000288536,0,1,0,7,1,0,0,1,9,0,0,0,1,1,0,0,3,0,0,1
ENSG00000288555,0,0,0,10,0,0,0,1,5,1,0,0,0,1,0,1,0,1,1,0
ENSG00000288578,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
ENSG00000280082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229425,0,15,13,87,26,113,25,95,45,131,27,97,84,47,68,27,204,70,34,48
