"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5693606","DNA Double Strand Break Response","11/177","78/11230",0.141025641025641,8.9475590323048,8.91295620315801,3.4020780107288e-08,2.5055303937838e-07,1.85797696932681e-07,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-5693607","Processing of DNA double-strand break ends","12/177","97/11230",0.123711340206186,7.84903022890093,8.5728640113261,3.6021777407344e-08,2.62205030895318e-07,1.94438235454574e-07,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/BRIP1/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",12
"R-HSA-9759476","Regulation of Homotypic Cell-Cell Adhesion","17/177","217/11230",0.0783410138248848,4.97044963420032,7.47366845184262,5.32377196427936e-08,3.83066810303319e-07,2.84063331669352e-07,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/ACTC1/H2BC14/H3C1",17
"R-HSA-201681","TCF dependent signaling in response to WNT","17/177","219/11230",0.0776255707762557,4.92505740009803,7.42286868079427,6.09122090065694e-08,4.33307304978551e-07,3.21319188659056e-07,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/KREMEN2/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",17
"R-HSA-9909648","Regulation of PD-L1(CD274) expression","16/177","194/11230",0.0824742268041237,5.23268681926728,7.52537669152324,6.54860274214999e-08,4.60609586133246e-07,3.41565205119828e-07,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-8878171","Transcriptional regulation by RUNX1","17/177","221/11230",0.0769230769230769,4.88048674489352,7.37268186645337,6.9586372113887e-08,4.84011877147703e-07,3.58919182482154e-07,"H3C8/H2BC7/CBX2/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",17
"R-HSA-73884","Base Excision Repair","11/177","90/11230",0.122222222222222,7.75455116133082,8.14127160909987,1.54498425382906e-07,1.06281334384285e-06,7.88129619362192e-07,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/H2BC10/H4C9/H2BC9/H2BC14",11
"R-HSA-418990","Adherens junctions interactions","17/177","240/11230",0.0708333333333333,4.49411487758945,6.9240635160744,2.29556059797342e-07,1.56197927644713e-06,1.15828629714677e-06,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/ACTC1/H2BC14/H3C1",17
"R-HSA-389948","Co-inhibition by PD-1","16/177","214/11230",0.0747663551401869,4.74365066793389,6.99692677130655,2.54444564667651e-07,1.71271287615e-06,1.27006285250067e-06,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-421270","Cell-cell junction organization","18/177","272/11230",0.0661764705882353,4.19865403788634,6.75776621027077,2.75648944782133e-07,1.83570467482569e-06,1.36126746527347e-06,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/ACTC1/H2BC14/CLDN8/H3C1",18
"R-HSA-5693538","Homology Directed Repair","13/177","140/11230",0.0928571428571429,5.89144471347861,7.36974537185925,3.00126398602029e-07,1.9570742242174e-06,1.45126909850323e-06,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/BRIP1/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/POLQ",13
"R-HSA-73886","Chromosome Maintenance","13/177","140/11230",0.0928571428571429,5.89144471347861,7.36974537185925,3.00126398602029e-07,1.9570742242174e-06,1.45126909850323e-06,"H2BC7/H2BC15/H2BC26/H2BC11/H4C5/H2BC17/H2BC6/PIF1/H2BC10/H4C9/H2BC9/H2BC14/TEN1",13
"R-HSA-3214858","RMTs methylate histone arginines","10/177","78/11230",0.128205128205128,8.13414457482254,8.00073555716019,3.65778739926697e-07,2.36059269272281e-06,1.75049836470617e-06,"H3C8/H2AC16/H3C10/H4C5/H3C2/H3C6/H4C9/H2AC13/H3C1/H2AC15",10
"R-HSA-9006931","Signaling by Nuclear Receptors","18/177","296/11230",0.0608108108108108,3.85822262940907,6.30622501866274,9.54107920589924e-07,6.09460773764584e-06,4.51945857121543e-06,"H3C8/EREG/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/NCOA3/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",18
