"User Ids","Gene Name","Category","Terms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","cytogenetic studies"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","endometrial carcinoma"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","epithelial ovarian cancer"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","esophageal adenocarcinoma"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","genotyping of frequent BRCA1/2 SNPs"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","germline BRCA1 mutation"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","germline mutations"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","lung cancer"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","lung cancer"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","lymphoma lymphoma, non-Hodgkin"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","lymphoma, non-Hodgkin"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","menarche menstrual cycle length"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","multiple sclerosis"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","normal variation"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","ovarian cancer"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","ovarian cancer"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","ovarian cancer."
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","ovarian neoplasm|Ovarian Neoplasms|Peritoneal Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","pancreas adenocarcinomas"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","pancreatic neoplasm|Pancreatic Neoplasms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","pharmacogenetic studies"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","prophylactic breast surgery"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","prostate cancer"
