"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","spindle organization","2","53","20","18975","5.34e-2","3.92e-1","35.80","1.00e+0","3.71e-1","1.41e-3","TTK,AURKA"
"GOTERM_BP_DIRECT","positive regulation of peptidyl-serine phosphorylation","2","53","20","18975","5.34e-2","3.92e-1","35.80","1.00e+0","3.71e-1","1.41e-3","AKT1,EGFR"
"GOTERM_BP_DIRECT","mitotic G2/M transition checkpoint","2","53","21","18975","5.60e-2","4.08e-1","34.10","1.00e+0","3.87e-1","1.55e-3","CHEK1,BRCA1"
"GOTERM_BP_DIRECT","regulation of cell cycle process","2","53","23","18975","6.12e-2","4.40e-1","31.13","1.00e+0","4.17e-1","1.87e-3","MYC,PLK1"
"GOTERM_BP_DIRECT","regulation of mitotic nuclear division","2","53","23","18975","6.12e-2","4.40e-1","31.13","1.00e+0","4.17e-1","1.87e-3","NEK2,MKI67"
"GOTERM_BP_DIRECT","response to oxidative stress","3","53","148","18975","6.22e-2","4.44e-1","7.26","1.00e+0","4.21e-1","8.19e-3","PCNA,AKT1,TP53"
"GOTERM_BP_DIRECT","cellular response to fatty acid","2","53","24","18975","6.38e-2","4.47e-1","29.83","1.00e+0","4.23e-1","2.03e-3","CCNB1,E2F1"
"GOTERM_BP_DIRECT","TOR signaling","2","53","24","18975","6.38e-2","4.47e-1","29.83","1.00e+0","4.23e-1","2.03e-3","AKT1,GATA3"
"GOTERM_BP_DIRECT","uterus development","2","53","24","18975","6.38e-2","4.47e-1","29.83","1.00e+0","4.23e-1","2.03e-3","GATA3,ESR1"
"GOTERM_BP_DIRECT","protein localization to centrosome","2","53","25","18975","6.63e-2","4.53e-1","28.64","1.00e+0","4.29e-1","2.20e-3","PLK1,AURKA"
"GOTERM_BP_DIRECT","positive regulation of MAP kinase activity","2","53","25","18975","6.63e-2","4.53e-1","28.64","1.00e+0","4.29e-1","2.20e-3","ERBB2,EZH2"
"GOTERM_BP_DIRECT","peptidyl-threonine phosphorylation","2","53","25","18975","6.63e-2","4.53e-1","28.64","1.00e+0","4.29e-1","2.20e-3","CHEK1,AKT1"
"GOTERM_BP_DIRECT","positive regulation of protein metabolic process","2","53","25","18975","6.63e-2","4.53e-1","28.64","1.00e+0","4.29e-1","2.20e-3","AKT1,DTL"
"GOTERM_BP_DIRECT","spermatogenesis","5","53","560","18975","6.69e-2","4.54e-1","3.20","1.00e+0","4.30e-1","1.97e-2","RB1,CCNB1,PTTG1,E2F1,BRCA2"
"GOTERM_BP_DIRECT","negative regulation of inflammatory response","3","53","155","18975","6.74e-2","4.55e-1","6.93","1.00e+0","4.31e-1","9.29e-3","RB1,PBK,GATA3"
"GOTERM_BP_DIRECT","microtubule cytoskeleton organization","3","53","156","18975","6.82e-2","4.57e-1","6.88","1.00e+0","4.33e-1","9.46e-3","BIRC5,GAPDH,AURKA"
"GOTERM_BP_DIRECT","regulation of neuron apoptotic process","2","53","26","18975","6.89e-2","4.59e-1","27.54","1.00e+0","4.35e-1","2.38e-3","GATA3,TP53"
"GOTERM_BP_DIRECT","protein K6-linked ubiquitination","2","53","27","18975","7.15e-2","4.70e-1","26.52","1.00e+0","4.45e-1","2.57e-3","AKT1,BRCA1"
"GOTERM_BP_DIRECT","negative regulation of proteolysis","2","53","27","18975","7.15e-2","4.70e-1","26.52","1.00e+0","4.45e-1","2.57e-3","AKT1,TP53"
"GOTERM_BP_DIRECT","oocyte maturation","2","53","28","18975","7.40e-2","4.78e-1","25.57","1.00e+0","4.53e-1","2.76e-3","CCNB1,BRCA2"
"GOTERM_BP_DIRECT","negative regulation of DNA-binding transcription factor activity","2","53","28","18975","7.40e-2","4.78e-1","25.57","1.00e+0","4.53e-1","2.76e-3","RB1,ESR1"
"GOTERM_BP_DIRECT","chromosome condensation","2","53","28","18975","7.40e-2","4.78e-1","25.57","1.00e+0","4.53e-1","2.76e-3","TOP2A,NCAPG"
"GOTERM_BP_DIRECT","blastocyst development","2","53","29","18975","7.66e-2","4.84e-1","24.69","1.00e+0","4.59e-1","2.96e-3","RRM2,NEK2"
"GOTERM_BP_DIRECT","intrinsic apoptotic signaling pathway by p53 class mediator","2","53","29","18975","7.66e-2","4.84e-1","24.69","1.00e+0","4.59e-1","2.96e-3","E2F1,TP53"
"GOTERM_BP_DIRECT","positive regulation of DNA replication","2","53","29","18975","7.66e-2","4.84e-1","24.69","1.00e+0","4.59e-1","2.96e-3","PCNA,EGFR"
"GOTERM_BP_DIRECT","negative regulation of neuron apoptotic process","3","53","167","18975","7.67e-2","4.84e-1","6.43","1.00e+0","4.59e-1","1.14e-2","CCND1,PIK3CA,BIRC5"
"GOTERM_BP_DIRECT","anatomical structure morphogenesis","3","53","169","18975","7.83e-2","4.90e-1","6.36","1.00e+0","4.65e-1","1.17e-2","FOXA1,KRT18,GATA3"
"GOTERM_BP_DIRECT","nuclear receptor-mediated steroid hormone signaling pathway","2","53","30","18975","7.91e-2","4.90e-1","23.87","1.00e+0","4.65e-1","3.17e-3","PGR,ESR1"
"GOTERM_BP_DIRECT","anatomical structure formation involved in morphogenesis","2","53","30","18975","7.91e-2","4.90e-1","23.87","1.00e+0","4.65e-1","3.17e-3","FOXA1,GATA3"
"GOTERM_BP_DIRECT","microtubule bundle formation","2","53","33","18975","8.66e-2","5.31e-1","21.70","1.00e+0","5.03e-1","3.82e-3","PLK1,KIF20A"
"GOTERM_BP_DIRECT","insulin-like growth factor receptor signaling pathway","2","53","33","18975","8.66e-2","5.31e-1","21.70","1.00e+0","5.03e-1","3.82e-3","PIK3CA,AKT1"
"GOTERM_BP_DIRECT","intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","2","53","34","18975","8.92e-2","5.44e-1","21.06","1.00e+0","5.15e-1","4.06e-3","BRCA2,TP53"
"GOTERM_BP_DIRECT","digestive tract development","2","53","35","18975","9.17e-2","5.49e-1","20.46","1.00e+0","5.20e-1","4.29e-3","RB1,CCNB1"
"GOTERM_BP_DIRECT","cochlea development","2","53","35","18975","9.17e-2","5.49e-1","20.46","1.00e+0","5.20e-1","4.29e-3","GATA3,MCM2"
"GOTERM_BP_DIRECT","DNA biosynthetic process","2","53","35","18975","9.17e-2","5.49e-1","20.46","1.00e+0","5.20e-1","4.29e-3","TK1,TYMS"
"GOTERM_BP_DIRECT","cellular response to nerve growth factor stimulus","2","53","36","18975","9.42e-2","5.55e-1","19.89","1.00e+0","5.26e-1","4.54e-3","E2F1,AKT1"
"GOTERM_BP_DIRECT","Golgi to plasma membrane protein transport","2","53","36","18975","9.42e-2","5.55e-1","19.89","1.00e+0","5.26e-1","4.54e-3","KRT18,AKT1"
"GOTERM_BP_DIRECT","cellular response to estradiol stimulus","2","53","36","18975","9.42e-2","5.55e-1","19.89","1.00e+0","5.26e-1","4.54e-3","ESR1,EGFR"
"GOTERM_BP_DIRECT","aortic valve morphogenesis","2","53","37","18975","9.66e-2","5.64e-1","19.35","1.00e+0","5.34e-1","4.79e-3","RB1,GATA3"
"GOTERM_BP_DIRECT","negative regulation of fibroblast proliferation","2","53","37","18975","9.66e-2","5.64e-1","19.35","1.00e+0","5.34e-1","4.79e-3","MYC,TP53"
"GOTERM_BP_DIRECT","negative regulation of cell migration","3","53","192","18975","9.73e-2","5.64e-1","5.59","1.00e+0","5.35e-1","1.65e-2","CDH1,PTEN,AKT1"

