"Main Category","Category","Terms"
"General Annotations","UP_COMMENT_PTM","Acetylated by EP300. Acetylation inhibits both endonuclease and exonuclease activity. Acetylation also reduces DNA-binding activity but does not affect interaction with PCNA or EP300. {ECO:0000255|HAMAP- Rule:MF_03140, ECO:0000269|PubMed:11430825}."
"General Annotations","UP_COMMENT_PTM","Methylation at Arg-192 by PRMT5 impedes Ser-187 phosphorylation and increases interaction with PCNA. {ECO:0000255|HAMAP-Rule:MF_03140, ECO:0000269|PubMed:20729856}."
"General Annotations","UP_COMMENT_PTM","Phosphorylation upon DNA damage induces relocalization to the nuclear plasma. Phosphorylation at Ser-187 by CDK2 occurs during late S-phase and results in dissociation from PCNA. {ECO:0000255|HAMAP- Rule:MF_03140, ECO:0000269|PubMed:20729856}."
"General Annotations","UP_COMMENT_SIMILARITY","Belongs to the XPG/RAD2 endonuclease family. FEN1 subfamily. {ECO:0000255|HAMAP-Rule:MF_03140}."
"General Annotations","UP_COMMENT_SIMILARITY","Belongs to the XPG/RAD2 endonuclease family. FEN1 subfamily. {ECO:0000256|ARBA:ARBA00034726, ECO:0000256|HAMAP- Rule:MF_03140}."
"General Annotations","UP_COMMENT_SIMILARITY","Belongs to the XPG/RAD2 endonuclease family. FEN1 subfamily. {ECO:0000256|ARBA:ARBA00034726}."
"General Annotations","UP_COMMENT_SUBCELLULAR_LOCATION","Mitochondrion {ECO:0000256|ARBA:ARBA00004173, ECO:0000256|HAMAP-Rule:MF_03140}. Nucleus, nucleolus {ECO:0000256|HAMAP-Rule:MF_03140}. Nucleus, nucleoplasm {ECO:0000256|HAMAP-Rule:MF_03140}. Note=Resides mostly in the nucleoli and relocalizes to the nucleoplasm upon DNA damage. {ECO:0000256|HAMAP- Rule:MF_03140}."
"General Annotations","UP_COMMENT_SUBCELLULAR_LOCATION","[Isoform 1]: Nucleus, nucleolus. Nucleus, nucleoplasm. Note=Resides mostly in the nucleoli and relocalizes to the nucleoplasm upon DNA damage."
"General Annotations","UP_COMMENT_SUBCELLULAR_LOCATION","[Isoform FENMIT]: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03140, ECO:0000269|PubMed:23675412}."
"General Annotations","UP_COMMENT_SUBUNIT","Interacts with PCNA (PubMed:11430825, PubMed:15616578, PubMed:26760506, PubMed:9305916). Three molecules of FEN1 bind to one PCNA trimer with each molecule binding to one PCNA monomer (PubMed:15616578). PCNA stimulates the nuclease activity without altering cleavage specificity (PubMed:15616578). The C-terminal domain binds EP300; can bind simultaneously to both PCNA and EP300 (PubMed:11430825). Interacts with DDX11; this interaction is direct and increases flap endonuclease activity of FEN1 (PubMed:18499658). Interacts with WDR4; regulating its endonuclease activity (PubMed:26751069). Interacts with POLB (PubMed:19336415, PubMed:26760506). {ECO:0000255|HAMAP-Rule:MF_03140, ECO:0000269|PubMed:11430825, ECO:0000269|PubMed:15616578, ECO:0000269|PubMed:18499658, ECO:0000269|PubMed:19336415, ECO:0000269|PubMed:26751069, ECO:0000269|PubMed:26760506, ECO:0000269|PubMed:9305916}."
"General Annotations","UP_COMMENT_SUBUNIT","Interacts with PCNA. Three molecules of FEN1 bind to one PCNA trimer with each molecule binding to one PCNA monomer. PCNA stimulates the nuclease activity without altering cleavage specificity. The C- terminal domain binds EP300; can bind simultaneously to both PCNA and EP300. Interacts with DDX11; this interaction is direct and increases flap endonuclease activity of FEN1. Interacts with WDR4; regulating its endonuclease activity. Interacts with POLB. {ECO:0000256|ARBA:ARBA00046466}."
"Identifiers","ENTREZ_GENE_ID","2237"
"Identifiers","ENSEMBL_GENE_ID","ENSG00000168496"
"Identifiers","UNIPROT_ID","Q6FHX6_HUMAN"
"Identifiers","UNIPROT_ID","I3L3E9_HUMAN"
"Identifiers","UNIPROT_ID","FEN1_HUMAN"
"Identifiers","UNIPROT_ID","F5H1Y3_HUMAN"
